Class,Content,ID,Name,Tag,Xpath,label,object_name,page_name,page_title,start_time
x6s0dn4 x9f619 xxk0z11 x6ikm8r xeq5yr9 xf7dkkf x1s85apg xzzcqpx,Reels,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[4]/span[1]/div[1]/a[1]/div[1]/div[2],,REELS,login,Page not found • Instagram,2025-06-23 08:23:59.073
html-span xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x1hl2dhg x16tdsg8 x1vvkbs x4k7w5x x1h91t0o x1h9r5lt x1jfb8zj xv2umb2 x1beo9mf xaigb6o x12ejxvf x3igimt xarpa2k xedcshv x1lytzrv x1t2pt76 x7ja8zs x1qrby5j,MessengerMessages,,,span,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[5]/div[1]/div[1]/span[1],,MESSENGERMESSAGES,login,Page not found • Instagram,2025-06-23 08:23:59.090
x1n2onr6,MessengerMessages,,,div,"//div[.//a[@href=""/direct/inbox/""]]",,MESSENGERMESSAGES,login,Page not found • Instagram,2025-06-23 08:23:59.092
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz _a6hd,MessengerMessages,,,a,"//a[@href=""/direct/inbox/""]",,MESSENGERMESSAGES,login,Page not found • Instagram,2025-06-23 08:23:59.092
x9f619 x3nfvp2 xr9ek0c xjpr12u xo237n4 x6pnmvc x7nr27j x12dmmrz xz9dl7a xpdmqnj xsag5q8 x1g0dm76 x80pfx3 x159b3zp x1dn74xm xif99yt x172qv1o x4afuhf x1lhsz42 x10v4vz6 xdoji71 x1dejxi8 x9k3k5o x8st7rj x11hdxyr x1eunh74 x1wj20lx x1obq294 x5a5i1n xde0f50 x15x8krk,MessengerMessages,,,div,"//a[@href=""/direct/inbox/""]//div",,MESSENGERMESSAGES,login,Page not found • Instagram,2025-06-23 08:23:59.094
x9f619 xjbqb8w x78zum5 x15mokao x1ga7v0g x16uus16 xbiv7yw x1n2onr6 x1plvlek xryxfnj x1c4vz4f x2lah0s xdt5ytf xqjyukv x1qjc9v5 x1oa3qoh x1nhvcw1,Messenger,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[5]/div[1]/div[1]/span[1]/div[1]/a[1]/div[1]/div[1]/div[1],,MESSENGER,login,Page not found • Instagram,2025-06-23 08:23:59.100
x9f619 xxk0z11 xii2z7h x11xpdln x19c4wfv xvy4d1p,Messenger,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[5]/div[1]/div[1]/span[1]/div[1]/a[1]/div[1]/div[1]/div[1]/div[1],,MESSENGER,login,Page not found • Instagram,2025-06-23 08:23:59.104
x6s0dn4 x9f619 xxk0z11 x6ikm8r xeq5yr9 xf7dkkf x1s85apg xzzcqpx,Messages,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[5]/div[1]/div[1]/span[1]/div[1]/a[1]/div[1]/div[2],,MESSAGES,login,Page not found • Instagram,2025-06-23 08:23:59.111
html-span xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x1hl2dhg x16tdsg8 x1vvkbs x4k7w5x x1h91t0o x1h9r5lt x1jfb8zj xv2umb2 x1beo9mf xaigb6o x12ejxvf x3igimt xarpa2k xedcshv x1lytzrv x1t2pt76 x7ja8zs x1qrby5j,NotificationsNotifications,,,span,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[6]/div[1]/span[1],,NOTIFICATIONSNOTIF,login,Page not found • Instagram,2025-06-23 08:23:59.126
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz _a6hd,NotificationsNotifications,,,a,"//a[@href=""#""]",,NOTIFICATIONSNOTIF,login,Page not found • Instagram,2025-06-23 08:23:59.128
x9f619 xxk0z11 xii2z7h x11xpdln x19c4wfv xvy4d1p,Notifications,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[6]/div[1]/span[1]/div[1]/a[1]/div[1]/div[1]/div[1]/div[1],,NOTIFICATIONS,login,Page not found • Instagram,2025-06-23 08:23:59.141
x6s0dn4 x9f619 xxk0z11 x6ikm8r xeq5yr9 xf7dkkf x1s85apg xzzcqpx,Notifications,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[6]/div[1]/span[1]/div[1]/a[1]/div[1]/div[2],,NOTIFICATIONS,login,Page not found • Instagram,2025-06-23 08:23:59.151
x1n2onr6,New postCreate,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[7]/div[1],,NEW_POSTCREATE,login,Page not found • Instagram,2025-06-23 08:23:59.163
html-span xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x1hl2dhg x16tdsg8 x1vvkbs x4k7w5x x1h91t0o x1h9r5lt x1jfb8zj xv2umb2 x1beo9mf xaigb6o x12ejxvf x3igimt xarpa2k xedcshv x1lytzrv x1t2pt76 x7ja8zs x1qrby5j,New postCreate,,,span,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[7]/div[1]/span[1],,NEW_POSTCREATE,login,Page not found • Instagram,2025-06-23 08:23:59.165
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz _a6hd,New postCreate,,,a,"//a[@href=""#""]",,NEW_POSTCREATE,login,Page not found • Instagram,2025-06-23 08:23:59.168
x9f619 xjbqb8w x78zum5 x15mokao x1ga7v0g x16uus16 xbiv7yw x1n2onr6 x1plvlek xryxfnj x1c4vz4f x2lah0s xdt5ytf xqjyukv x1qjc9v5 x1oa3qoh x1nhvcw1,New post,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[7]/div[1]/span[1]/div[1]/a[1]/div[1]/div[1]/div[1],,NEW_POST,login,Page not found • Instagram,2025-06-23 08:23:59.175
x9f619 xxk0z11 xii2z7h x11xpdln x19c4wfv xvy4d1p,New post,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[7]/div[1]/span[1]/div[1]/a[1]/div[1]/div[1]/div[1]/div[1],,NEW_POST,login,Page not found • Instagram,2025-06-23 08:23:59.179
x6s0dn4 x9f619 xxk0z11 x6ikm8r xeq5yr9 xf7dkkf x1s85apg xzzcqpx,Create,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[7]/div[1]/span[1]/div[1]/a[1]/div[1]/div[2],,CREATE,login,Page not found • Instagram,2025-06-23 08:23:59.186
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz _a6hd,Profile,,,a,"//a[@href=""/rahul.kittur/""]",,PROFILE,login,Page not found • Instagram,2025-06-23 08:23:59.203
x6s0dn4 x9f619 xxk0z11 x6ikm8r xeq5yr9 xf7dkkf x1s85apg xzzcqpx,Profile,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[8]/div[1]/span[1]/div[1]/a[1]/div[1]/div[2],,PROFILE,login,Page not found • Instagram,2025-06-23 08:23:59.215
x1n2onr6,Meta AI,,,div,"//div[.//a[@href=""https://www.meta.ai/?utm_source=ig_web_nav""]]",,META_AI,login,Page not found • Instagram,2025-06-23 08:23:59.245
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz _a6hd,Meta AI,,,a,"//a[@href=""https://www.meta.ai/?utm_source=ig_web_nav""]",,META_AI,login,Page not found • Instagram,2025-06-23 08:23:59.246
x9f619 x3nfvp2 xr9ek0c xjpr12u xo237n4 x6pnmvc x7nr27j x12dmmrz xz9dl7a xpdmqnj xsag5q8 x1g0dm76 x80pfx3 x159b3zp x1dn74xm xif99yt x172qv1o x4afuhf x1lhsz42 x10v4vz6 xdoji71 x1dejxi8 x9k3k5o x8st7rj x11hdxyr x1eunh74 x1wj20lx x1obq294 x5a5i1n xde0f50 x15x8krk,Meta AI,,,div,"//a[@href=""https://www.meta.ai/?utm_source=ig_web_nav""]//div",,META_AI,login,Page not found • Instagram,2025-06-23 08:23:59.247
x6s0dn4 x9f619 xxk0z11 x6ikm8r xeq5yr9 xf7dkkf x1s85apg xzzcqpx,Meta AI,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/span[1]/div[1]/a[1]/div[1]/div[2],,META_AI,login,Page not found • Instagram,2025-06-23 08:23:59.261
x1n2onr6,AI Studio,,,div,"//div[.//a[@href=""https://aistudio.instagram.com/?utm_source=ig_web_nav""]]",,AI_STUDIO,login,Page not found • Instagram,2025-06-23 08:23:59.273
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz _a6hd,AI Studio,,,a,"//a[@href=""https://aistudio.instagram.com/?utm_source=ig_web_nav""]",,AI_STUDIO,login,Page not found • Instagram,2025-06-23 08:23:59.274
x9f619 x3nfvp2 xr9ek0c xjpr12u xo237n4 x6pnmvc x7nr27j x12dmmrz xz9dl7a xpdmqnj xsag5q8 x1g0dm76 x80pfx3 x159b3zp x1dn74xm xif99yt x172qv1o x4afuhf x1lhsz42 x10v4vz6 xdoji71 x1dejxi8 x9k3k5o x8st7rj x11hdxyr x1eunh74 x1wj20lx x1obq294 x5a5i1n xde0f50 x15x8krk,AI Studio,,,div,"//a[@href=""https://aistudio.instagram.com/?utm_source=ig_web_nav""]//div",,AI_STUDIO,login,Page not found • Instagram,2025-06-23 08:23:59.275
x6s0dn4 x9f619 xxk0z11 x6ikm8r xeq5yr9 xf7dkkf x1s85apg xzzcqpx,AI Studio,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/span[1]/div[1]/a[1]/div[1]/div[2],,AI_STUDIO,login,Page not found • Instagram,2025-06-23 08:23:59.289
x1n2onr6,9+Threads,,,div,"//div[.//a[@href=""https://www.threads.com/?xmt=AQF0wA2ORQV72pAZGMexX1zU-dw6d0OX4T1U3TbRJkmw13I""]]",,9THREADS,login,Page not found • Instagram,2025-06-23 08:23:59.304
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz _a6hd,9+Threads,,,a,"//a[@href=""https://www.threads.com/?xmt=AQF0wA2ORQV72pAZGMexX1zU-dw6d0OX4T1U3TbRJkmw13I""]",,9THREADS,login,Page not found • Instagram,2025-06-23 08:23:59.304
x9f619 x3nfvp2 xr9ek0c xjpr12u xo237n4 x6pnmvc x7nr27j x12dmmrz xz9dl7a xpdmqnj xsag5q8 x1g0dm76 x80pfx3 x159b3zp x1dn74xm xif99yt x172qv1o x4afuhf x1lhsz42 x10v4vz6 xdoji71 x1dejxi8 x9k3k5o x8st7rj x11hdxyr x1eunh74 x1wj20lx x1obq294 x5a5i1n xde0f50 x15x8krk,9+Threads,,,div,"//a[@href=""https://www.threads.com/?xmt=AQF0wA2ORQV72pAZGMexX1zU-dw6d0OX4T1U3TbRJkmw13I""]//div",,9THREADS,login,Page not found • Instagram,2025-06-23 08:23:59.306
x6s0dn4 x9f619 xxk0z11 x6ikm8r xeq5yr9 xf7dkkf x1s85apg xzzcqpx,Threads,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/span[2]/div[1]/a[1]/div[1]/div[2],,THREADS,login,Page not found • Instagram,2025-06-23 08:23:59.333
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz _a6hd,SettingsMore,,,a,"//a[@href=""#""]",,SETTINGSMORE,login,Page not found • Instagram,2025-06-23 08:23:59.351
x9f619 xjbqb8w x78zum5 x15mokao x1ga7v0g x16uus16 xbiv7yw x1n2onr6 x1plvlek xryxfnj x1c4vz4f x2lah0s xdt5ytf xqjyukv x1qjc9v5 x1oa3qoh x1nhvcw1,Settings,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/span[1]/div[1]/a[1]/div[1]/div[1]/div[1],,SETTINGS,login,Page not found • Instagram,2025-06-23 08:23:59.358
x9f619 xxk0z11 xii2z7h x11xpdln x19c4wfv xvy4d1p,Settings,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/span[1]/div[1]/a[1]/div[1]/div[1]/div[1]/div[1],,SETTINGS,login,Page not found • Instagram,2025-06-23 08:23:59.362
